Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Jordan Crawford,NOP,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.102,2.6,-3,-0.4,0.2,2017,Jordan CrawfordNOP2017.0,1,4
Jae Crowder,BOS,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17,4.1,2.5,0.137,1.4,0.2,1.6,2.1,2017,Jae CrowderBOS2017.0,0,4
Dante Cunningham,NOP,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.2,1.2,1.4,7,10.7,1.4,1.6,0.088,-1.3,0.8,-0.5,0.6,2017,Dante CunninghamNOP2017.0,1,4
Seth Curry,DAL,2029,15.5,0.601,0.458,0.142,1.4,9.3,5.1,16,2,0.3,11,19.5,2.9,1.7,0.11,1.8,-0.4,1.4,1.7,2017,Seth CurryDAL2017.0,4,4
Stephen Curry,GSW,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,8.7,3.9,0.229,7.8,-0.4,7.3,6.2,2017,Stephen CurryGSW2017.0,8,1
Troy Daniels,MEM,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,0.051,0.4,-3.5,-3.1,-0.3,2017,Troy DanielsMEM2017.0,1,4
Anthony Davis,NOP,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,0.195,1.4,2.3,3.7,3.9,2017,Anthony DavisNOP2017.0,2,4
Deyonta Davis,MEM,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.097,-5.4,1.8,-3.7,-0.1,2017,Deyonta DavisMEM2017.0,3,4
Ed Davis,POR,789,11.5,0.563,0,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12,1,0.7,0.104,-2.2,0.1,-2.1,0,2017,Ed DavisPOR2017.0,3,4
Dewayne Dedmon,SAS,1330,16,0.645,0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3,0.189,-1.6,3.2,1.7,1.2,2017,Dewayne DedmonSAS2017.0,3,1
Sam Dekker,HOU,1419,13.1,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,0.104,-0.4,-0.6,-1,0.3,2017,Sam DekkerHOU2017.0,1,4
Malcolm Delaney,ATL,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.005,-4.6,-1.3,-5.9,-1.2,2017,Malcolm DelaneyATL2017.0,6,4
Matthew Dellavedova,MIL,1986,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.3,0.9,0.029,-1.9,-2.8,-4.7,-1.4,2017,Matthew DellavedovaMIL2017.0,9,1
Luol Deng,LAL,1486,10.1,0.47,0.389,0.149,4.5,17.7,10.8,7,1.6,1.1,8.7,14.2,0.1,0.8,0.029,-2.3,-0.2,-2.5,-0.2,2017,Luol DengLAL2017.0,1,4
DeMar DeRozan,TOR,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,0.166,2.4,-1.5,0.9,1.9,2017,DeMar DeRozanTOR2017.0,4,4
Cheick Diallo,NOP,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.111,-4.6,-1,-5.6,-0.2,2017,Cheick DialloNOP2017.0,5,4
Boris Diaw,UTA,1283,9,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,0.041,-2.7,-0.2,-2.9,-0.3,2017,Boris DiawUTA2017.0,9,4
Gorgui Dieng,MIN,2653,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14,3.2,2.5,0.103,-0.5,2.2,1.8,2.5,2017,Gorgui DiengMIN2017.0,2,1
Spencer Dinwiddie,BRK,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,0.101,-0.7,-0.2,-0.9,0.4,2017,Spencer DinwiddieBRK2017.0,0,4
